n,e,pop
6501000,607000,3
6503000,607000,10
6504000,607000,7
6505000,607000,0
6507000,607000,3
6508000,607000,7
6509000,607000,3
6511000,607000,3
6512000,607000,263
6513000,607000,323
6514000,607000,123
6516000,607000,13
6517000,607000,8
6518000,607000,15
6519000,607000,3
6520000,607000,0
6521000,607000,25
6522000,607000,0
6523000,607000,4
6524000,607000,11
6527000,607000,29
6528000,607000,51
6540000,607000,0
6542000,607000,6
6543000,607000,0
6549000,607000,3
6550000,607000,3
6559000,607000,22
6560000,607000,4
6566000,607000,5
6567000,607000,3
6568000,607000,0
6571000,607000,3
6572000,607000,4
6573000,607000,0
6574000,607000,3
6575000,607000,0
6577000,607000,3
6580000,607000,5
6581000,607000,245
6582000,607000,60
6583000,607000,0
6584000,607000,23
6585000,607000,5
6587000,607000,3
6588000,607000,33
6589000,607000,17
6590000,607000,12
6591000,607000,9
6592000,607000,28
6593000,607000,3
6597000,607000,0
6602000,607000,0
6603000,607000,4
6604000,607000,3
6605000,607000,9
6606000,607000,3
6608000,607000,19
6609000,607000,8
6610000,607000,33
6611000,607000,20
6614000,607000,34
6616000,607000,14
6617000,607000,3
6618000,607000,0
6619000,607000,3
6620000,607000,13
6623000,607000,5
6624000,607000,12
6625000,607000,8
6626000,607000,24
6627000,607000,183
6628000,607000,292
6629000,607000,11
6630000,607000,0
6631000,607000,4
6632000,607000,44
6633000,607000,21
6634000,607000,17
6635000,607000,71
6636000,607000,4
6637000,607000,0
6638000,607000,11
6639000,607000,28
6640000,607000,12
6643000,607000,4
6644000,607000,3
6646000,607000,5
6649000,607000,5
6650000,607000,4
6652000,607000,4
6653000,607000,3
6655000,607000,3
6668000,607000,13
6669000,607000,148
6670000,607000,481
6671000,607000,128
6672000,607000,46
6673000,607000,5
6675000,607000,3
6678000,607000,3
6679000,607000,8
6680000,607000,6
6681000,607000,3
6691000,607000,7
6700000,607000,5
6701000,607000,0
6703000,607000,6
6704000,607000,0
6707000,607000,3
6715000,607000,5
6716000,607000,35
6717000,607000,26
6718000,607000,34
6719000,607000,29
6720000,607000,20
6721000,607000,205
6722000,607000,41
6723000,607000,77
6724000,607000,275
6725000,607000,141
6726000,607000,23
6738000,607000,43
6739000,607000,32
6745000,607000,10
6765000,607000,0
6786000,607000,0
6788000,607000,9
6791000,607000,37
6792000,607000,28
6793000,607000,39
6794000,607000,22
6796000,607000,81
6797000,607000,3
6801000,607000,4
6803000,607000,32
6804000,607000,43
6805000,607000,0
6811000,607000,4
6820000,607000,4
6823000,607000,3
6824000,607000,20
6825000,607000,104
6826000,607000,0
6827000,607000,14
6828000,607000,8
6830000,607000,41
6831000,607000,10
6832000,607000,3
6833000,607000,26
6836000,607000,0
6838000,607000,5
6847000,607000,3
6849000,607000,39
6850000,607000,6
6851000,607000,5
6852000,607000,32
6853000,607000,0
6856000,607000,0
6858000,607000,8
6859000,607000,175
6860000,607000,112
6861000,607000,21
6862000,607000,17
6863000,607000,27
6864000,607000,38
6865000,607000,17
6866000,607000,30
6869000,607000,12
6872000,607000,244
6873000,607000,498
6874000,607000,286
6875000,607000,21
6876000,607000,6
6877000,607000,19
6878000,607000,0
6879000,607000,10
6880000,607000,0
6881000,607000,3
6882000,607000,7
6906000,607000,12
6907000,607000,26
6908000,607000,44
6909000,607000,6
6911000,607000,38
6912000,607000,76
6913000,607000,31
6914000,607000,67
6916000,607000,8
6918000,607000,4
6921000,607000,3
6922000,607000,9
6926000,607000,3
6931000,607000,56
6932000,607000,15
6934000,607000,5
6937000,607000,4
6938000,607000,25
6939000,607000,6
6940000,607000,441
6941000,607000,4
6953000,607000,3
6954000,607000,4
6987000,607000,20
6988000,607000,0
7009000,607000,3
7010000,607000,18
7022000,607000,6
7023000,607000,28
7024000,607000,3
7084000,607000,3
7111000,607000,4
7166000,607000,3
7167000,607000,3
7168000,607000,32
7169000,607000,14
7197000,607000,0
7324000,607000,0
7325000,607000,8
7326000,607000,3
7511000,607000,4
6299000,608000,18
6300000,608000,13
6301000,608000,0
6302000,608000,15
6304000,608000,9
6305000,608000,24
6306000,608000,9
6307000,608000,8
6308000,608000,12
6309000,608000,26
6310000,608000,24
6311000,608000,11
6312000,608000,17
6313000,608000,15
6316000,608000,3
6440000,608000,3
6441000,608000,3
6447000,608000,0
